대학이름,본분교,지역,모집시기,학과,전형유형,전형세부,전형명,2023년도 모집인원,2022학년도 경쟁률,2022학년도 평균등급
한양대학교,본교 ,서울,수시,정보시스템학과,학생부위주,교과,지역균형발전,5,5.8,1.29
한양대학교,본교 ,서울,수시,정보시스템학과,학생부위주,종합,일반,9,12,
한양대학교,본교 ,서울,수시,정보시스템학과,학생부위주,종합,고른기회,2,11,
한양대학교,본교 ,서울,수시,컴퓨터소프트웨어학부,학생부위주,교과,지역균형발전,17,6.81,1.18
한양대학교,본교 ,서울,수시,컴퓨터소프트웨어학부,학생부위주,종합,일반,36,21.06,
한양대학교,본교 ,서울,수시,컴퓨터소프트웨어학부,학생부위주,종합,고른기회,7,21.57,1.18
한양대학교,본교 ,서울,수시,컴퓨터소프트웨어학부,실기/실적위주,특기자,소프트웨어인재,13,14.54,
홍익대학교,본교 ,서울,수시,전자·전기공학부,학생부위주,교과,학교장추천자전형,29,8.45,
홍익대학교,본교 ,서울,수시,전자·전기공학부,학생부위주,종합,학교생활우수자전형,50,6.67,
홍익대학교,본교 ,서울,수시,전자·전기공학부,학생부위주,종합,고른기회전형,2,6.5,
홍익대학교,본교 ,서울,수시,컴퓨터공학과,학생부위주,교과,학교장추천자전형,26,9.73,
홍익대학교,본교 ,서울,수시,컴퓨터공학과,학생부위주,종합,학교생활우수자전형,44,8.2,
홍익대학교,본교 ,서울,수시,컴퓨터공학과,학생부위주,종합,고른기회전형,1,12,
